10;-10;0;10;20;-30;-30;10;50;10;0;-10;-40;-150;70;70;0;-10;20;10;-110;140;-60;0;0;0;0;0;30;50;70;10;-10;-10;-10;0;20;-90;-80;-100;0;0;10;-10;-40;60;-30;-10;0;0;-10;-30;50;-60;40;40;-20;-40;-20;-10;50;-30;30;40;
10;-10;-10;0;-50;20;-170;40;10;30;30;10;-40;-80;80;-40;-20;-50;-30;-20;-10;0;10;0;10;-20;-40;-20;0;-20;-90;-110;-20;-20;0;-10;10;0;0;0;-10;-30;-30;0;-10;-50;-30;20;-10;-30;-20;-30;-60;-150;-40;10;10;10;10;10;0;10;-70;-100;
-30;-10;0;-10;0;10;20;-50;-10;10;-20;0;40;110;-30;-20;-30;-10;0;10;60;20;-10;0;10;-10;-10;0;-60;-20;50;30;-20;10;-10;-30;-10;0;60;-120;0;-10;20;-20;-10;-10;-60;-20;0;10;10;-10;20;-40;-40;10;-10;-10;-20;-30;-90;-30;40;-60;
-10;0;10;20;70;0;-10;-80;0;-10;0;-10;-60;30;70;120;-20;-20;10;10;-10;70;-50;-220;0;-10;0;0;50;-60;-100;20;-20;-20;-10;-10;-130;0;50;20;-10;0;-20;-10;-50;-90;-90;-30;10;0;-10;20;140;-20;-40;-30;20;0;0;-20;-10;50;-10;-20;
20;0;0;20;40;100;-30;50;10;10;0;0;-10;10;-20;0;10;-10;0;0;20;-40;20;30;0;-10;-10;20;-50;40;60;150;-10;-20;0;-20;-50;-220;-150;-200;20;10;10;10;-40;60;-50;50;0;0;0;-20;10;-20;140;50;-10;10;10;-20;10;-10;-70;-10;
-20;-10;-20;-20;10;0;-20;-10;10;0;-20;-20;-30;-50;-70;0;10;10;20;-20;-60;-70;70;80;-10;10;30;40;90;30;-60;-40;0;-10;0;-10;20;20;50;10;-10;-10;0;-10;-10;-10;0;90;-10;-10;-40;-40;-80;-40;0;-30;0;10;-10;0;70;80;-10;20;
0;10;0;-10;40;-50;-120;-50;-20;-10;-20;10;40;20;-110;50;0;-40;-10;10;-30;-20;110;50;20;20;10;-10;-20;-110;170;0;0;-10;0;-20;-180;50;40;-100;-20;-40;-60;-30;10;-10;-80;-70;-30;-10;-20;0;-10;0;100;-50;0;0;10;-20;10;100;-10;-20;
10;20;20;20;-20;-30;-100;-50;0;-20;-40;-20;40;70;40;50;-20;0;10;-30;-10;-10;70;-90;30;10;20;50;-10;10;-20;120;-10;0;10;-10;-80;110;70;-110;-20;-10;-10;10;60;-80;-60;-50;0;0;-10;-30;20;-10;20;30;-10;-10;-10;-30;-10;60;40;-60;
10;0;10;0;-40;80;40;30;0;0;-20;-30;-20;-40;20;-10;-10;-10;-30;-30;-30;-40;-40;-10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
-10;-20;-30;-10;0;60;110;10;-20;-10;-10;-20;-90;-30;20;-20;10;0;10;30;120;0;-50;-10;0;20;10;10;40;10;90;30;-30;-10;-10;-10;40;-10;10;-20;0;0;-20;-10;-10;-20;-10;-10;30;-10;0;-20;-10;-20;30;0;-20;-20;0;10;-50;-40;-50;-30;
0;-20;-20;10;-50;20;0;-10;10;0;10;-10;-20;-30;50;30;-20;-40;-20;0;0;-20;0;-40;10;40;20;0;-10;0;-140;-40;-40;-40;-40;-40;-30;0;90;40;-10;0;0;10;0;-30;110;60;10;0;-10;10;-20;80;-30;-20;0;10;10;0;60;20;10;50;
-10;0;-10;20;20;20;40;110;0;-20;10;-10;50;-20;-40;-30;30;0;0;-20;-10;10;100;0;-20;-10;-10;-10;-10;30;-20;-20;-20;-10;-20;-20;-30;-40;0;-80;-10;-30;-20;-10;50;-20;-100;-10;20;20;10;0;-40;-10;10;20;0;-10;-10;10;-10;-40;0;30;
