2,-2,7,-7,-3,-3,0,-2
-2,-1,6,6,1,0,0,2
3,-1,-5,-3,-3,-4,-2,0
4,4,18,1,-1,0,0,0
4,-1,-20,-3,-1,-2,1,10
-1,5,25,3,1,0,-1,-4
-4,-2,-33,-4,0,1,-1,-1
0,4,15,10,2,2,0,-2
7,4,-16,3,5,2,-1,2
0,-20,-9,-20,-13,-5,-1,0
3,6,17,0,-1,-2,2,1
-4,-4,14,4,-4,-5,-4,-6
-5,-4,16,10,1,0,-2,-9
3,15,5,14,7,5,3,6
-9,-24,-50,-12,-5,-2,-2,-2
0,34,90,40,17,4,3,3
-21,-69,-80,-48,-23,-17,-15,-22
0,-1,28,-48,-15,-6,-5,-2
1,1,14,-4,-1,1,0,3
-2,5,25,2,-2,0,-3,-2
4,20,21,23,10,4,4,7
-3,-10,-78,9,-2,-5,-4,-9
3,12,41,-1,1,0,2,2
-5,-9,-44,-7,-6,-1,-2,-1
6,14,50,10,1,2,1,6
-2,14,14,24,9,5,2,2
-10,6,9,10,4,-1,-4,-8
-1,-18,-54,-46,-13,-7,-2,-4
2,6,20,-6,-6,-1,1,3
0,2,23,9,4,0,0,3
-1,8,29,18,6,1,-1,-1
-3,-22,-81,-10,-4,-3,-4,-5
8,27,46,2,3,5,4,8
-6,-8,-21,3,-1,-4,0,-3
-8,-37,-39,-8,-7,-5,-9,-16
1,-3,-38,-24,-9,-4,0,3
5,-5,-26,2,2,0,-2,-6
1,8,36,10,-2,1,0,2
2,8,-2,-8,-1,-1,1,3
-1,-6,-2,0,1,-1,-1,1
-3,7,32,6,5,2,-1,0
-1,-10,-35,-1,-3,-3,-1,-1
4,-5,10,-4,-3,-1,2,5
-3,10,43,14,2,2,-1,1
1,12,-18,-9,-4,-5,-3,-7
-1,-24,-31,-13,-3,-5,-5,-8
-2,7,-4,-11,1,0,2,5
6,8,25,13,2,-1,-3,-5
13,-18,-20,-11,-3,0,4,12
-9,9,14,14,5,4,2,3
-8,-1,1,1,-2,-6,-7,-21
1,-6,-1,-16,-4,-3,-2,-1
-3,1,0,-3,-7,-2,-1,-3
6,-3,-10,-11,-3,1,1,5
9,14,40,21,5,4,3,11
-6,-9,-29,3,-1,-2,-4,-6
-5,-1,15,1,1,0,-2,-2
-2,-3,-25,-8,-6,-3,-2,-1
-6,-6,-4,7,-1,1,0,-2
0,7,2,-11,-5,-2,-1,-2
-2,4,14,4,0,-2,-1,2
-2,4,3,3,5,0,-2,-5
4,2,-18,-5,-5,-1,-2,-2
8,6,16,4,2,4,2,10
-5,1,31,16,3,2,-1,-9
-7,-2,-21,-8,-8,-4,-2,-5
3,-2,-18,-12,-4,-1,-1,2
3,19,19,0,0,-4,0,2
-3,-13,-2,3,3,-1,-2,2
-3,0,27,8,2,2,-1,-2
3,-8,2,2,1,0,0,2
-4,-20,-17,-4,-6,-5,-2,-5
-11,-25,-60,-11,-10,-6,-7,-7
7,4,0,-5,-2,-1,0,3
1,-2,25,-8,-3,-4,-2,0
-1,5,13,3,3,3,0,-2
0,4,7,7,1,-2,-2,-1
-4,5,32,-2,-2,-3,-1,-3
-4,-27,-60,1,-4,-2,-1,-2
-1,-8,18,-4,-5,-4,-2,0
3,-4,-8,-8,-4,-4,-1,-1
3,1,8,-2,1,2,0,1
1,2,28,4,-1,-2,0,1
-1,5,-19,0,4,1,0,-3
1,-3,3,4,-1,-2,-1,-1
-1,5,-13,-14,-4,-1,-2,0
2,-6,-17,-1,-3,0,-1,3
-4,-4,-9,-7,-4,0,-1,-3
-7,8,8,-2,-1,-1,-5,-16
5,5,28,9,1,0,2,1
-17,-17,-46,-11,-8,-7,-6,-9
2,22,24,6,3,2,1,7
-3,-7,-19,-3,-5,-2,0,3
0,-11,-41,-17,-7,-3,-1,-1
5,12,-5,-9,-1,1,1,2
-1,-8,11,7,2,0,0,-3
-3,2,-17,-5,-1,1,1,2
-3,-6,25,8,0,-1,-2,-2
4,28,7,13,6,3,4,2
-2,-15,-29,-11,-6,-2,-3,-2
5,13,36,6,4,3,1,4
-4,-14,-24,-18,-11,-7,-5,-4
1,9,36,12,7,1,0,2
-2,2,6,9,4,1,-2,-7
-3,-2,-13,-2,-3,1,0,-2
1,10,22,2,2,2,0,2
-1,-1,11,6,-1,-1,0,4
13,-8,-10,-14,-8,-5,-4,-8
-34,-7,-26,-11,-6,-3,-2,-7
-7,-9,-3,0,2,0,-3,-4
-1,-16,-45,-5,-4,-2,-3,-4
-4,13,-4,1,2,0,-1,5
4,0,7,-11,0,-2,-1,2
-4,-10,-4,4,-5,-3,-3,0
-2,-4,-15,-19,-6,-2,-2,-2
5,0,29,12,6,2,2,2
-2,-13,-45,-6,-8,-9,-5,-8
-2,3,3,9,4,-1,1,-1
3,-2,18,1,1,1,0,-1
-9,-5,-11,-7,-4,-3,0,-3
2,15,35,13,2,0,0,2
-3,-6,-18,-16,-4,0,-1,-6
9,10,9,8,4,1,2,6
-7,-9,0,13,0,1,-3,-6
5,-9,0,-10,-3,-3,-5,-7
-24,4,-9,-4,-1,-2,-2,-7
9,-3,12,-1,1,1,2,1
0,6,-2,-7,-1,-1,2,4
24,-1,5,5,2,1,0,6
-2,1,0,8,3,1,0,-2
6,11,8,2,-3,-2,-2,-4
4,-9,-9,-7,-5,-4,0,5
-4,19,9,-4,1,1,1,0
27,-11,-12,-6,3,0,1,8
-23,-3,22,23,-1,1,-2,0
-11,-13,-45,-39,-21,-6,-3,-16
-5,-14,-12,-7,0,-3,-2,-4
-11,1,5,7,3,1,0,-4
11,14,10,-3,5,2,0,1
15,12,8,17,-2,1,0,7
-36,-13,-4,-9,-7,-4,-2,-10
5,-13,-10,-4,-1,-1,0,-5
-6,-14,-15,-5,-8,-4,-3,-7
9,-12,-5,0,0,0,-1,6
-1,-13,1,5,1,1,-2,-1
11,22,28,-6,-6,-4,-2,2
-13,-2,-12,-5,-3,-1,-2,-4
2,-15,-2,12,7,4,0,1
6,11,9,-3,3,0,2,6
27,7,27,22,7,6,4,17
-55,4,44,5,-8,-2,0,-4
-4,-40,-87,-40,-12,-15,-5,0
-6,4,30,-1,-3,-1,-7,-19
-14,-22,-11,-1,-2,-1,2,8
-7,16,33,12,5,4,-2,21
18,27,34,19,0,1,3,-4
-27,-9,-1,-3,-6,-7,-3,-15
-21,-22,-45,-13,-10,-10,-6,-11
33,2,-25,-12,0,-1,1,5
6,1,-12,8,7,5,1,18
63,-9,-2,2,-1,3,6,29
30,16,12,-11,-5,-4,-6,-12
-44,-20,-8,1,-1,-5,-6,-29
20,25,35,23,9,-1,-7,-11
25,29,-37,-12,-2,2,1,-1
56,15,10,-19,-6,-1,-1,16
18,1,-28,-22,-16,-8,-1,16
-76,-33,11,-5,-2,-3,-9,-31
-11,4,28,17,4,2,-3,-2
