11,5,8,2,0,2,1,3
-5,3,5,1,1,-1,-1,-1
-1,2,-1,-1,-2,-1,-1,-1
-6,-8,13,4,0,-2,-1,-2
12,-3,-18,-4,1,1,3,4
-23,-1,-17,-11,-7,-4,-7,-11
-5,-65,-17,-6,-2,-3,-3,-6
-23,11,3,-1,-3,-2,-2,-2
1,-4,10,2,-1,-2,0,1
4,-2,-7,0,-2,3,23,-1
2,28,14,2,1,0,4,11
1,5,-5,0,-1,-1,14,10
-20,-42,-5,-2,-1,-8,-44,-35
-3,-20,-8,-2,-1,4,15,17
10,17,8,2,5,0,8,2
18,-4,15,11,6,12,21,14
-25,2,-13,-14,-11,-4,-48,-24
10,-8,-23,-6,-7,-15,10,29
4,9,-6,1,2,1,-5,-1
30,28,67,25,18,20,32,35
-41,-23,-77,-24,-13,-39,-66,-42
31,64,47,19,31,67,88,58
-63,-101,-78,-39,-44,-55,-90,-104
5,1,-24,-20,-27,-40,-50,-14
32,105,97,26,15,19,71,48
-40,-89,-82,-14,-9,-10,-16,-4
32,99,61,20,22,21,-3,6
-25,-54,-23,-10,-1,10,17,-6
3,0,-15,-4,-3,-7,-9,-30
8,11,26,3,-1,-11,-51,-26
14,27,37,13,7,16,37,34
-14,-39,-60,-14,-7,-10,-16,-13
15,11,28,7,4,11,22,22
8,-7,12,7,5,4,-10,18
-12,33,42,-3,-9,-21,-20,-2
-6,-37,-74,-20,-8,-7,-10,-5
-9,-45,-15,-5,3,-2,25,-38
15,41,49,-2,-18,-27,-98,-79
-5,5,-42,-13,0,-47,0,4
3,27,17,10,12,94,34,-7
19,2,-11,-10,-10,-31,-2,16
-46,-10,21,-1,-9,-11,25,-10
8,12,-9,2,-10,-18,-10,26
-7,62,31,-1,-2,-30,-21,-9
2,-49,-14,2,9,25,17,17
5,40,12,-2,4,11,14,5
5,-9,-4,3,5,16,3,13
6,21,10,8,8,-2,18,18
-12,-18,17,0,-7,9,13,27
0,5,-66,-14,3,-17,-22,-10
-12,-47,7,-7,-4,16,14,-13
5,14,24,8,-1,-14,-11,-10
1,24,22,1,3,6,4,-4
4,0,33,15,7,-9,-3,-4
21,42,-52,-17,-2,3,7,-9
0,-17,15,6,4,11,9,8
2,45,49,10,-2,2,-13,60
-2,-106,-78,-14,-2,-5,-6,-27
-4,38,25,9,9,4,10,4
-13,-13,3,-11,-12,-10,-5,6
11,-1,-4,7,4,-11,29,8
0,-1,16,0,-6,7,-22,-4
-20,-20,-6,-3,-4,-7,7,-9
6,11,-26,-7,1,-5,-9,2
-3,1,-7,-5,-2,3,-43,-24
13,35,23,4,3,-1,43,6
-16,-71,-31,5,5,10,-10,-30
0,34,12,-5,-8,-17,22,4
-1,-34,-31,-6,-1,2,11,-3
-4,32,21,-3,-6,-11,-13,24
18,19,9,10,9,19,18,28
-5,0,25,4,2,-4,-8,-18
-18,-27,-73,-18,-12,-8,-5,-27
6,13,13,3,-1,5,5,10
-3,-18,5,0,-1,4,7,0
-3,-3,-1,1,-3,-8,-10,2
-5,-10,2,-6,-4,2,15,0
17,-1,2,4,1,-1,-23,17
-5,1,0,-6,-10,-5,10,25
-1,4,-1,-2,3,-5,-1,-15
9,-3,9,9,4,7,-26,-27
-11,10,-21,-7,-5,-10,4,-26
